ID,English_name,Vocalization_type,Quality,Date,X,Y,Clean_Time,Datetime,Date_String
387405,Rose-crested Blue Pipit,Call,B,9/18/2017,125,104,10:00,9/18/2017 10:00,9/18/2017 10:00
387403,Rose-crested Blue Pipit,Call,B,9/18/2017,130,107,10:00,9/18/2017 10:00,9/18/2017 10:00
383970,Rose-crested Blue Pipit,Song,B,5/13/2015,128,121,0:00,5/13/2015 0:00,5/13/2015 0:00
383446,Rose-crested Blue Pipit,Call,B,8/18/2017,130,108,9:30,8/18/2017 9:30,8/18/2017 9:30
378584,Rose-crested Blue Pipit,Song,B,7/1/2017,75,103,15:00,7/1/2017 15:00,7/1/2017 15:00
362922,Rose-crested Blue Pipit,Call,B,4/25/2015,158,105,6:12,4/25/2015 6:12,4/25/2015 6:12
354538,Rose-crested Blue Pipit,Call,B,2/5/2017,144,110,8:10,2/5/2017 8:10,2/5/2017 8:10
349700,Rose-crested Blue Pipit,Call,B,12/28/2016,170,110,11:00,12/28/2016 11:00,12/28/2016 11:00
345802,Rose-crested Blue Pipit,Song,B,4/8/2015,149,114,8:04,4/8/2015 8:04,4/8/2015 8:04
345801,Rose-crested Blue Pipit,Call,B,8/10/2015,124,117,6:45,8/10/2015 6:45,8/10/2015 6:45
345797,Rose-crested Blue Pipit,Call,B,8/10/2015,158,107,6:43,8/10/2015 6:43,8/10/2015 6:43
345796,Rose-crested Blue Pipit,Call,B,1/3/2016,152,122,14:39,1/3/2016 14:39,1/3/2016 14:39
345795,Rose-crested Blue Pipit,Call,B,10/24/2015,143,106,7:52,10/24/2015 7:52,10/24/2015 7:52
345564,Rose-crested Blue Pipit,Call,B,1/3/2016,149,117,14:45,1/3/2016 14:45,1/3/2016 14:45
345563,Rose-crested Blue Pipit,Call,B,1/3/2016,128,118,14:18,1/3/2016 14:18,1/3/2016 14:18
345562,Rose-crested Blue Pipit,Call,B,3/31/2015,157,124,8:53,3/31/2015 8:53,3/31/2015 8:53
345561,Rose-crested Blue Pipit,Call,B,12/25/2015,110,120,13:01,12/25/2015 13:01,12/25/2015 13:01
345560,Rose-crested Blue Pipit,Call,B,12/25/2015,154,127,11:41,12/25/2015 11:41,12/25/2015 11:41
345559,Rose-crested Blue Pipit,Call,B,12/25/2015,85,134,11:40,12/25/2015 11:40,12/25/2015 11:40
345558,Rose-crested Blue Pipit,Call,B,12/25/2015,150,110,11:40,12/25/2015 11:40,12/25/2015 11:40
345557,Rose-crested Blue Pipit,Call,B,12/25/2015,153,113,11:39,12/25/2015 11:39,12/25/2015 11:39
345556,Rose-crested Blue Pipit,Call,B,8/10/2015,152,121,7:44,8/10/2015 7:44,8/10/2015 7:44
345555,Rose-crested Blue Pipit,Call,B,8/10/2015,26,133,7:32,8/10/2015 7:32,8/10/2015 7:32
345554,Rose-crested Blue Pipit,Song,B,8/9/2015,47,58,8:59,8/9/2015 8:59,8/9/2015 8:59
345553,Rose-crested Blue Pipit,Song,B,4/20/2015,133,116,9:38,4/20/2015 9:38,4/20/2015 9:38
345552,Rose-crested Blue Pipit,Song,B,4/20/2015,135,118,9:34,4/20/2015 9:34,4/20/2015 9:34
345550,Rose-crested Blue Pipit,Call,B,1/3/2016,62,67,14:39,1/3/2016 14:39,1/3/2016 14:39
344091,Rose-crested Blue Pipit,Song,B,5/26/2007,139,148,7:00,5/26/2007 7:00,5/26/2007 7:00
344090,Rose-crested Blue Pipit,Song,B,6/1/2015,147,119,7:00,6/1/2015 7:00,6/1/2015 7:00
342729,Rose-crested Blue Pipit,Call,B,11/13/2016,116,132,10:35,11/13/2016 10:35,11/13/2016 10:35
342417,Rose-crested Blue Pipit,Call,B,11/11/2016,136,130,10:00,11/11/2016 10:00,11/11/2016 10:00
339833,Rose-crested Blue Pipit,Call,B,10/23/2016,149,118,12:30,10/23/2016 12:30,10/23/2016 12:30
339832,Rose-crested Blue Pipit,Call,B,10/23/2016,149,111,12:30,10/23/2016 12:30,10/23/2016 12:30
324018,Rose-crested Blue Pipit,Song,B,6/9/2016,150,120,7:30,6/9/2016 7:30,6/9/2016 7:30
320496,Rose-crested Blue Pipit,Song,B,4/14/2016,119,121,10:30,4/14/2016 10:30,4/14/2016 10:30
314104,Rose-crested Blue Pipit,Song,B,4/28/2016,128,116,12:30,4/28/2016 12:30,4/28/2016 12:30
313778,Rose-crested Blue Pipit,Song,B,4/24/2016,130,122,11:45,4/24/2016 11:45,4/24/2016 11:45
313073,Rose-crested Blue Pipit,Call,B,4/14/2016,133,120,10:29,4/14/2016 10:29,4/14/2016 10:29
312968,Rose-crested Blue Pipit,Call,B,4/19/2016,71,93,7:12,4/19/2016 7:12,4/19/2016 7:12
312965,Rose-crested Blue Pipit,Call,B,4/19/2016,125,117,7:11,4/19/2016 7:11,4/19/2016 7:11
306344,Rose-crested Blue Pipit,Song,B,3/6/2016,159,129,19:00,3/6/2016 19:00,3/6/2016 19:00
306343,Rose-crested Blue Pipit,Call,B,3/6/2016,111,115,19:00,3/6/2016 19:00,3/6/2016 19:00
305761,Rose-crested Blue Pipit,Song,B,2/28/2016,121,116,10:30,2/28/2016 10:30,2/28/2016 10:30
304180,Rose-crested Blue Pipit,Song,B,2/20/2016,71,138,18:04,2/20/2016 18:04,2/20/2016 18:04
293918,Rose-crested Blue Pipit,"Call, Song",B,6/5/2015,109,114,6:45,6/5/2015 6:45,6/5/2015 6:45
293913,Rose-crested Blue Pipit,Call,B,6/5/2015,45,64,7:00,6/5/2015 7:00,6/5/2015 7:00
291662,Rose-crested Blue Pipit,Call,B,11/23/2015,152,119,12:39,11/23/2015 12:39,11/23/2015 12:39
291091,Rose-crested Blue Pipit,Call,B,5/16/2015,134,123,13:50,5/16/2015 13:50,5/16/2015 13:50
291090,Rose-crested Blue Pipit,Call,B,5/16/2015,137,109,13:25,5/16/2015 13:25,5/16/2015 13:25
278041,Rose-crested Blue Pipit,Call,B,5/26/2015,66,81,15:37,5/26/2015 15:37,5/26/2015 15:37
277999,Rose-crested Blue Pipit,Song,B,5/3/2015,123,129,8:25,5/3/2015 8:25,5/3/2015 8:25
261402,Rose-crested Blue Pipit,Call,B,7/18/2015,147,121,11:30,7/18/2015 11:30,7/18/2015 11:30
256362,Rose-crested Blue Pipit,Call,B,2/11/2015,137,138,9:30,2/11/2015 9:30,2/11/2015 9:30
255560,Rose-crested Blue Pipit,Call,B,3/10/2015,115,129,7:50,3/10/2015 7:50,3/10/2015 7:50
233386,Rose-crested Blue Pipit,Song,B,3/15/2015,130,114,11:35,3/15/2015 11:35,3/15/2015 11:35
233384,Rose-crested Blue Pipit,Song,B,3/15/2015,120,118,11:29,3/15/2015 11:29,3/15/2015 11:29
232913,Rose-crested Blue Pipit,Call,B,1/30/2010,126,109,0:00,1/30/2010 0:00,1/30/2010 0:00
216670,Rose-crested Blue Pipit,"Call, Song",B,4/19/2009,136,166,8:00,4/19/2009 8:00,4/19/2009 8:00
200110,Rose-crested Blue Pipit,Call,B,10/25/2014,41,123,9:28,10/25/2014 9:28,10/25/2014 9:28
191515,Rose-crested Blue Pipit,Song,B,7/6/2014,125,110,8:00,7/6/2014 8:00,7/6/2014 8:00
191476,Rose-crested Blue Pipit,Song,B,7/3/2014,135,106,8:30,7/3/2014 8:30,7/3/2014 8:30
191418,Rose-crested Blue Pipit,Song,B,7/2/2014,136,126,9:00,7/2/2014 9:00,7/2/2014 9:00
191417,Rose-crested Blue Pipit,Call,B,7/2/2014,148,147,9:00,7/2/2014 9:00,7/2/2014 9:00
191416,Rose-crested Blue Pipit,Call,B,7/2/2014,127,116,9:00,7/2/2014 9:00,7/2/2014 9:00
191415,Rose-crested Blue Pipit,Call,B,7/2/2014,148,159,9:00,7/2/2014 9:00,7/2/2014 9:00
182666,Rose-crested Blue Pipit,Call,B,4/29/2014,128,119,7:30,4/29/2014 7:30,4/29/2014 7:30
172485,Rose-crested Blue Pipit,Song,B,5/8/2013,138,150,20:50,5/8/2013 20:50,5/8/2013 20:50
171853,Rose-crested Blue Pipit,Song,B,5/28/2010,148,151,6:00,5/28/2010 6:00,5/28/2010 6:00
164634,Rose-crested Blue Pipit,Call,B,1/12/2014,148,156,9:00,1/12/2014 9:00,1/12/2014 9:00
164631,Rose-crested Blue Pipit,Call,B,1/12/2014,142,150,9:00,1/12/2014 9:00,1/12/2014 9:00
164499,Rose-crested Blue Pipit,Song,B,5/3/1993,152,153,0:00,5/3/1993 0:00,5/3/1993 0:00
164230,Rose-crested Blue Pipit,Call,B,1/11/2014,147,155,8:00,1/11/2014 8:00,1/11/2014 8:00
164203,Rose-crested Blue Pipit,Call,B,4/30/2012,140,112,6:00,4/30/2012 6:00,4/30/2012 6:00
162568,Rose-crested Blue Pipit,Call,B,5/26/2013,135,158,8:10,5/26/2013 8:10,5/26/2013 8:10
162565,Rose-crested Blue Pipit,Call,B,5/25/2013,135,119,21:16,5/25/2013 21:16,5/25/2013 21:16
162562,Rose-crested Blue Pipit,,B,5/25/2013,161,159,21:15,5/25/2013 21:15,5/25/2013 21:15
158163,Rose-crested Blue Pipit,Call,B,12/18/2013,164,173,10:30,12/18/2013 10:30,12/18/2013 10:30
149220,Rose-crested Blue Pipit,Song,B,6/9/2013,146,158,6:57,6/9/2013 6:57,6/9/2013 6:57
134979,Rose-crested Blue Pipit,Song,B,5/6/2013,118,111,7:00,5/6/2013 7:00,5/6/2013 7:00
125879,Rose-crested Blue Pipit,Call,B,2/4/2013,62,153,8:30,2/4/2013 8:30,2/4/2013 8:30
125878,Rose-crested Blue Pipit,Call,B,2/4/2013,146,155,8:30,2/4/2013 8:30,2/4/2013 8:30
113144,Rose-crested Blue Pipit,Call,B,10/6/2012,113,110,14:00,10/6/2012 14:00,10/6/2012 14:00
111776,Rose-crested Blue Pipit,Call,B,10/22/2012,109,121,13:55,10/22/2012 13:55,10/22/2012 13:55
91352,Rose-crested Blue Pipit,Song,B,4/23/2010,149,156,17:30,4/23/2010 17:30,4/23/2010 17:30
91351,Rose-crested Blue Pipit,Song,B,4/23/2010,132,46,17:30,4/23/2010 17:30,4/23/2010 17:30
80749,Rose-crested Blue Pipit,Song,B,5/14/2011,146,156,9:58,5/14/2011 9:58,5/14/2011 9:58
68258,Rose-crested Blue Pipit,Call,B,6/7/2005,128,120,0:00,6/7/2005 0:00,6/7/2005 0:00
59000,Rose-crested Blue Pipit,Song,B,6/14/2010,146,154,14:30,6/14/2010 14:30,6/14/2010 14:30
53791,Rose-crested Blue Pipit,Call,B,4/25/2010,140,115,17:42,4/25/2010 17:42,4/25/2010 17:42
53789,Rose-crested Blue Pipit,Song,B,4/20/2010,125,118,17:30,4/20/2010 17:30,4/20/2010 17:30
43857,Rose-crested Blue Pipit,Call,B,2/4/2010,134,152,14:00,2/4/2010 14:00,2/4/2010 14:00
41282,Rose-crested Blue Pipit,Call,B,10/12/2009,145,151,11:00,10/12/2009 11:00,10/12/2009 11:00
34861,Rose-crested Blue Pipit,Song,B,5/23/2009,143,112,10:45,5/23/2009 10:45,5/23/2009 10:45
16969,Rose-crested Blue Pipit,Song,B,5/7/2007,149,150,0:00,5/7/2007 0:00,5/7/2007 0:00
11506,Rose-crested Blue Pipit,Song,B,2/27/2007,155,154,0:00,2/27/2007 0:00,2/27/2007 0:00
11505,Rose-crested Blue Pipit,Call,B,2/2/2007,153,158,0:00,2/2/2007 0:00,2/2/2007 0:00
1201,Rose-crested Blue Pipit,Song,B,6/20/1991,136,160,0:00,6/20/1991 0:00,6/20/1991 0:00
406172,Rose-crested Blue Pipit,Song,C,6/7/2017,147,113,5:40,6/7/2017 5:40,6/7/2017 5:40
395927,Rose-crested Blue Pipit,Call,C,11/23/2017,137,111,12:30,11/23/2017 12:30,11/23/2017 12:30
378131,Rose-crested Blue Pipit,Call,C,6/22/2017,131,119,23:30,6/22/2017 23:30,6/22/2017 23:30
363136,Rose-crested Blue Pipit,Call,C,4/4/2017,139,114,9:00,4/4/2017 9:00,4/4/2017 9:00
295352,Rose-crested Blue Pipit,Call,C,12/11/2015,129,117,9:30,12/11/2015 9:30,12/11/2015 9:30
294798,Rose-crested Blue Pipit,Call,C,12/12/2015,113,114,8:00,12/12/2015 8:00,12/12/2015 8:00
288915,Rose-crested Blue Pipit,Song,C,3/19/2015,120,111,9:30,3/19/2015 9:30,3/19/2015 9:30
282616,Rose-crested Blue Pipit,Song,C,4/7/2015,134,116,6:52,4/7/2015 6:52,4/7/2015 6:52
278001,Rose-crested Blue Pipit,Call,C,5/3/2015,143,115,8:27,5/3/2015 8:27,5/3/2015 8:27
277998,Rose-crested Blue Pipit,Song,C,5/3/2015,128,117,8:20,5/3/2015 8:20,5/3/2015 8:20
237009,Rose-crested Blue Pipit,"Call, Song",C,4/21/2015,106,138,9:30,4/21/2015 9:30,4/21/2015 9:30
237005,Rose-crested Blue Pipit,Song,C,4/21/2015,127,117,9:40,4/21/2015 9:40,4/21/2015 9:40
222806,Rose-crested Blue Pipit,Song,C,2/15/2007,147,157,8:10,2/15/2007 8:10,2/15/2007 8:10
222805,Rose-crested Blue Pipit,Song,C,6/11/2000,148,154,10:00,6/11/2000 10:00,6/11/2000 10:00
222804,Rose-crested Blue Pipit,Song,C,4/18/2003,144,178,12:00,4/18/2003 12:00,4/18/2003 12:00
222803,Rose-crested Blue Pipit,Song,C,4/5/1998,125,116,6:00,4/5/1998 6:00,4/5/1998 6:00
206618,Rose-crested Blue Pipit,Song,C,5/24/2014,133,109,15:00,5/24/2014 15:00,5/24/2014 15:00
182663,Rose-crested Blue Pipit,Call,C,4/29/2014,131,125,7:30,4/29/2014 7:30,4/29/2014 7:30
169033,Rose-crested Blue Pipit,Call,C,9/9/2011,125,122,10:00,9/9/2011 10:00,9/9/2011 10:00
161630,Rose-crested Blue Pipit,Song,C,12/28/2013,130,120,10:00,12/28/2013 10:00,12/28/2013 10:00
160293,Rose-crested Blue Pipit,Song,C,5/4/2013,147,154,6:58,5/4/2013 6:58,5/4/2013 6:58
150457,Rose-crested Blue Pipit,Call,C,10/13/2013,161,141,9:00,10/13/2013 9:00,10/13/2013 9:00
134755,Rose-crested Blue Pipit,Song,C,5/24/2013,145,154,11:00,5/24/2013 11:00,5/24/2013 11:00
125402,Rose-crested Blue Pipit,Song,C,3/17/2013,151,166,9:00,3/17/2013 9:00,3/17/2013 9:00
111777,Rose-crested Blue Pipit,Call,C,10/22/2012,127,117,10:34,10/22/2012 10:34,10/22/2012 10:34
91847,Rose-crested Blue Pipit,Song,C,12/1/2011,80,125,8:00,12/1/2011 8:00,12/1/2011 8:00
91845,Rose-crested Blue Pipit,Call,C,12/1/2011,132,150,8:00,12/1/2011 8:00,12/1/2011 8:00
63086,Rose-crested Blue Pipit,Call,C,10/9/2010,138,161,8:46,10/9/2010 8:46,10/9/2010 8:46
56867,Rose-crested Blue Pipit,Song,C,6/25/2010,135,120,7:12,6/25/2010 7:12,6/25/2010 7:12
18969,Rose-crested Blue Pipit,Song,C,12/22/2007,99,127,8:00,12/22/2007 8:00,12/22/2007 8:00
371525,Rose-crested Blue Pipit,"Call, Song",D,4/23/2017,109,134,14:59,4/23/2017 14:59,4/23/2017 14:59
345551,Rose-crested Blue Pipit,Song,D,2/10/2016,124,111,9:34,2/10/2016 9:34,2/10/2016 9:34
325274,Rose-crested Blue Pipit,Song,D,6/23/2016,140,114,20:30,6/23/2016 20:30,6/23/2016 20:30
174364,Rose-crested Blue Pipit,Song,D,4/13/2014,130,139,12:00,4/13/2014 12:00,4/13/2014 12:00
28993,Rose-crested Blue Pipit,Song,D,5/6/2007,122,129,0:00,5/6/2007 0:00,5/6/2007 0:00
18970,Rose-crested Blue Pipit,Song,D,12/22/2007,104,123,8:00,12/22/2007 8:00,12/22/2007 8:00
306340,Rose-crested Blue Pipit,Song,E,3/8/2016,104,124,13:00,3/8/2016 13:00,3/8/2016 13:00
347750,Blue-collared Zipper,Call,,8/21/2016,46,62,16:00,8/21/2016 16:00,8/21/2016 16:00
325753,Blue-collared Zipper,Call,,8/31/2011,24,139,7:00,8/31/2011 7:00,8/31/2011 7:00
176506,Blue-collared Zipper,Call,,9/26/2010,46,62,16:17,9/26/2010 16:17,9/26/2010 16:17
374413,Blue-collared Zipper,Call,A,2/3/2017,60,71,16:49,2/3/2017 16:49,2/3/2017 16:49
347893,Blue-collared Zipper,"Call, Song",A,12/21/2013,44,63,9:30,12/21/2013 9:30,12/21/2013 9:30
341352,Blue-collared Zipper,Song,A,2/22/2016,152,34,8:00,2/22/2016 8:00,2/22/2016 8:00
274462,Blue-collared Zipper,Call,A,3/15/2010,60,76,17:05,3/15/2010 17:05,3/15/2010 17:05
260444,Blue-collared Zipper,Call,A,3/4/1998,43,74,0:00,3/4/1998 0:00,3/4/1998 0:00
257777,Blue-collared Zipper,Call,A,1996-11-00,43,67,0:00,,
239025,Blue-collared Zipper,Call,A,11/29/1990,47,64,0:00,11/29/1990 0:00,11/29/1990 0:00
239023,Blue-collared Zipper,Call,A,2/22/1996,147,153,6:30,2/22/1996 6:30,2/22/1996 6:30
239022,Blue-collared Zipper,Call,A,12/19/1991,44,66,6:40,12/19/1991 6:40,12/19/1991 6:40
239019,Blue-collared Zipper,Call,A,12/11/1990,68,151,6:24,12/11/1990 6:24,12/11/1990 6:24
239018,Blue-collared Zipper,Call,A,11/15/1992,49,61,7:30,11/15/1992 7:30,11/15/1992 7:30
230054,Blue-collared Zipper,Call,A,4/16/2003,32,135,11:00,4/16/2003 11:00,4/16/2003 11:00
189831,Blue-collared Zipper,Call,A,7/31/2014,84,138,18:30,7/31/2014 18:30,7/31/2014 18:30
183581,Blue-collared Zipper,Call,A,5/24/2014,31,136,18:00,5/24/2014 18:00,5/24/2014 18:00
167890,Blue-collared Zipper,"Call, Song",A,1/22/2014,137,36,16:00,1/22/2014 16:00,1/22/2014 16:00
116387,Blue-collared Zipper,Call,A,10/4/2012,150,144,16:50,10/4/2012 16:50,10/4/2012 16:50
48782,Blue-collared Zipper,Song,A,3/28/2005,46,64,0:00,3/28/2005 0:00,3/28/2005 0:00
30074,Blue-collared Zipper,Call,A,6/10/2004,64,147,0:00,6/10/2004 0:00,6/10/2004 0:00
6135,Blue-collared Zipper,Song,A,3/25/2005,47,64,0:00,3/25/2005 0:00,3/25/2005 0:00
3371,Blue-collared Zipper,Call,A,6/6/1996,32,138,10:37,6/6/1996 10:37,6/6/1996 10:37
273667,Blue-collared Zipper,Call,B,1/2/2010,45,65,16:00,1/2/2010 16:00,1/2/2010 16:00
254122,Blue-collared Zipper,Call,B,3/14/2003,84,140,0:00,3/14/2003 0:00,3/14/2003 0:00
251570,Blue-collared Zipper,Call,B,11/27/2004,129,120,12:30,11/27/2004 12:30,11/27/2004 12:30
251569,Blue-collared Zipper,Call,B,11/27/2004,49,61,12:10,11/27/2004 12:10,11/27/2004 12:10
251568,Blue-collared Zipper,Call,B,11/10/2004,80,132,13:20,11/10/2004 13:20,11/10/2004 13:20
239021,Blue-collared Zipper,Call,B,12/19/1991,92,121,6:38,12/19/1991 6:38,12/19/1991 6:38
239020,Blue-collared Zipper,Call,B,9/4/1991,45,64,6:39,9/4/1991 6:39,9/4/1991 6:39
230060,Blue-collared Zipper,Call,B,6/5/2000,45,65,17:00,6/5/2000 17:00,6/5/2000 17:00
230059,Blue-collared Zipper,Call,B,6/5/2000,56,58,17:00,6/5/2000 17:00,6/5/2000 17:00
230058,Blue-collared Zipper,Call,B,4/16/2003,47,63,10:45,4/16/2003 10:45,4/16/2003 10:45
230057,Blue-collared Zipper,Call,B,4/19/1997,139,45,16:00,4/19/1997 16:00,4/19/1997 16:00
230056,Blue-collared Zipper,Call,B,7/28/2000,67,156,18:00,7/28/2000 18:00,7/28/2000 18:00
230055,Blue-collared Zipper,Call,B,2/14/2006,45,66,16:00,2/14/2006 16:00,2/14/2006 16:00
211636,Blue-collared Zipper,Call,B,12/16/2014,50,63,14:30,12/16/2014 14:30,12/16/2014 14:30
181434,Blue-collared Zipper,Song,B,11/16/2013,46,70,16:30,11/16/2013 16:30,11/16/2013 16:30
166768,Blue-collared Zipper,Call,B,1/22/2014,46,65,10:00,1/22/2014 10:00,1/22/2014 10:00
146158,Blue-collared Zipper,Song,B,2/21/2013,47,66,11:00,2/21/2013 11:00,2/21/2013 11:00
122690,Blue-collared Zipper,Call,B,1/28/2013,45,65,8:00,1/28/2013 8:00,1/28/2013 8:00
116386,Blue-collared Zipper,Call,B,10/4/2012,46,64,16:50,10/4/2012 16:50,10/4/2012 16:50
95988,Blue-collared Zipper,Song,B,2/13/2012,50,56,9:33,2/13/2012 9:33,2/13/2012 9:33
85427,Blue-collared Zipper,Call,B,10/30/2002,47,65,15:50,10/30/2002 15:50,10/30/2002 15:50
74792,Blue-collared Zipper,Call,B,8/1/1997,46,35,18:20,8/1/1997 18:20,8/1/1997 18:20
74191,Blue-collared Zipper,Song,B,10/3/2006,82,138,15:20,10/3/2006 15:20,10/3/2006 15:20
52081,Blue-collared Zipper,Song,B,3/29/2005,31,58,0:00,3/29/2005 0:00,3/29/2005 0:00
44224,Blue-collared Zipper,,B,12/1/2007,73,140,0:00,12/1/2007 0:00,12/1/2007 0:00
41940,Blue-collared Zipper,Song,B,11/2/2009,46,60,0:00,11/2/2009 0:00,11/2/2009 0:00
24011,Blue-collared Zipper,Song,B,10/18/2008,50,59,13:00,10/18/2008 13:00,10/18/2008 13:00
13297,Blue-collared Zipper,Call,B,2/25/2003,129,58,0:00,2/25/2003 0:00,2/25/2003 0:00
326954,Blue-collared Zipper,Call,C,4/25/2016,45,65,8:00,4/25/2016 8:00,4/25/2016 8:00
